"spec","term","coef","se","p","n","events","q_bh","metric","q_by_family"
"price_car_0_1","rel_upstream_hardware",0.00420595809413573,0.00314479502943299,0.183584749735413,5441,124,NA,NA,0.358380996183672
"price_car_0_1","rel_upstream_cloud",0.00140300541481631,0.00198908402836907,0.481972636388112,5441,124,NA,NA,0.481972636388112
"price_car_0_1","rel_downstream_integrator",0.00249502775523076,0.00224586209866735,0.268785747137754,5441,124,NA,NA,0.358380996183672
"price_car_0_1","rel_downstream_deployer",0.00269934112644156,0.00242173763013176,0.267203301386294,5441,124,NA,NA,0.358380996183672
"price_car_0_1","rel_downstream_enabler",0.00407871210962378,0.0023343088707963,0.0831046551406656,5441,124,NA,NA,0.358380996183672
"price_car_0_1","rel_competitor",0.00361302225119794,0.00278214069113784,0.1966875953207,5441,124,NA,NA,0.358380996183672
"price_car_0_1","rel_is_investor",-0.0029417291934776,0.00330470660446428,0.377746142602671,5441,124,NA,NA,0.431709877260196
"price_car_0_1","rel_is_owner",0.00902833196659606,0.0069390622244954,0.199426628514276,5441,124,NA,NA,0.358380996183672
"price_increment_2_20","rel_upstream_hardware",0.0305516293004573,0.0104203501417228,0.00402818551635754,5441,124,NA,NA,0.0161127420654302
"price_increment_2_20","rel_upstream_cloud",0.00909773359265701,0.00629333015208727,0.150919972492048,5441,124,NA,NA,0.241471955987276
"price_increment_2_20","rel_downstream_integrator",0.0106587552055754,0.00706522613111109,0.133991172554899,5441,124,NA,NA,0.241471955987276
"price_increment_2_20","rel_downstream_deployer",0.00991471611352704,0.00785128357692315,0.20906769477889,5441,124,NA,NA,0.278756926371853
"price_increment_2_20","rel_downstream_enabler",-0.00156539529326549,0.0099577635438662,0.875344460937775,5441,124,NA,NA,0.875344460937775
"price_increment_2_20","rel_competitor",0.0302400936739053,0.00823552637300729,0.000368107670439245,5441,124,NA,NA,0.00294486136351396
"price_increment_2_20","rel_is_investor",0.0077446306042457,0.0112948585116177,0.496161479372971,5441,124,NA,NA,0.567041690711967
"price_increment_2_20","rel_is_owner",0.0227820052997713,0.0142416237246553,0.116218948190321,5441,124,NA,NA,0.241471955987276
"volume_0_1","rel_upstream_hardware",-0.00742010030918216,0.0497974095676704,0.881796797097048,5441,124,NA,NA,0.881796797097048
"volume_0_1","rel_upstream_cloud",0.0950870875556086,0.0674898038120046,0.161480614747591,5441,124,NA,NA,0.258368983596145
"volume_0_1","rel_downstream_integrator",-0.0515805590610199,0.0538371932729705,0.339923214931362,5441,124,NA,NA,0.453230953241816
"volume_0_1","rel_downstream_deployer",-0.170011116513915,0.0572938173348066,0.00361676519225683,5441,124,NA,NA,0.0144670607690273
"volume_0_1","rel_downstream_enabler",-0.456708197381766,0.0751134021138447,1.42004547059922e-08,5441,124,NA,NA,1.13603637647938e-07
"volume_0_1","rel_competitor",0.102551484072545,0.0632609022377754,0.107765851846516,5441,124,NA,NA,0.215531703693031
"volume_0_1","rel_is_investor",-0.0625819533937829,0.119434097665222,0.602694452502287,5441,124,NA,NA,0.688793660002614
"volume_0_1","rel_is_owner",0.562780713171112,0.201023432915408,0.00737125917281509,5441,124,NA,NA,0.0196566911275069
"volume_pre_m10_m2","rel_upstream_hardware",-0.0765365057810372,0.0388184264856428,0.0509276490611186,5441,124,NA,NA,0.135807064162983
"volume_pre_m10_m2","rel_upstream_cloud",0.0744500951998098,0.051148354198078,0.148155553232551,5441,124,NA,NA,0.296311106465102
"volume_pre_m10_m2","rel_downstream_integrator",-0.0411970539507311,0.0388237737393176,0.290736076911363,5441,124,NA,NA,0.387648102548484
"volume_pre_m10_m2","rel_downstream_deployer",-0.11161567786412,0.04140764643446,0.00802154969809999,5441,124,NA,NA,0.0320861987923999
"volume_pre_m10_m2","rel_downstream_enabler",-0.333229288135354,0.0507562505898238,1.33647572116594e-09,5441,124,NA,NA,1.06918057693275e-08
"volume_pre_m10_m2","rel_competitor",0.01238010288256,0.0467443795457881,0.791606441306104,5441,124,NA,NA,0.791606441306104
"volume_pre_m10_m2","rel_is_investor",-0.0967210604364076,0.0799189756159592,0.232103156758877,5441,124,NA,NA,0.371365050814204
"volume_pre_m10_m2","rel_is_owner",-0.0579955131726336,0.125424887455088,0.645908249648441,5441,124,NA,NA,0.738180856741076
"hardware_sox_vs_nonsox","hardware_sox",0.0367579927944793,0.0102160759150553,0.000465422245791673,5441,124,NA,NA,0.000930844491583345
"hardware_sox_vs_nonsox","hardware_nonsox",0.0227116446815293,0.0149369425563415,0.131032123265465,5441,124,NA,NA,0.131032123265465
"moderator_is_open_weight_or_open_source","rel_upstream_hardware:is_open_weight_or_open_source",0.00752154299118528,0.0178234610542247,0.673950052825077,5441,124,0.786631634016596,NA,0.673950052825077
"moderator_is_open_weight_or_open_source","rel_competitor:is_open_weight_or_open_source",0.0187262556189897,0.0122562476762125,0.129827321779967,5441,124,0.415873005992264,NA,0.204698912037735
"moderator_is_open_weight_or_open_source","rel_downstream_deployer:is_open_weight_or_open_source",0.0195802633286583,0.0130409115807121,0.13646594135849,5441,124,0.415873005992264,NA,0.204698912037735
"moderator_is_reasoning_model","rel_upstream_hardware:is_reasoning_model",0.0434163802563203,0.0167320324186276,0.0112370182836937,5441,124,0.26968843880865,NA,0.0337110548510812
"moderator_is_reasoning_model","rel_competitor:is_reasoning_model",0.0213468560524786,0.0130104520100195,0.104777832341382,5441,124,0.415873005992264,NA,0.157166748512073
"moderator_is_reasoning_model","rel_downstream_deployer:is_reasoning_model",0.01403679474493,0.0123715000943324,0.259920628745165,5441,124,0.415873005992264,NA,0.259920628745165
"moderator_is_coding_model","rel_upstream_hardware:is_coding_model",-0.0379300000242304,0.0863670071462595,0.688302679764522,5441,124,0.786631634016596,NA,0.765512156948416
"moderator_is_coding_model","rel_competitor:is_coding_model",-0.0152908660867446,0.0471008101126624,0.765512156948416,5441,124,0.835104171216453,NA,0.765512156948416
"moderator_is_coding_model","rel_downstream_deployer:is_coding_model",-0.059162143574311,0.017224742416352,0.0373559617404972,5441,124,0.415873005992264,NA,0.112067885221492
"moderator_is_media_generation_model","rel_upstream_hardware:is_media_generation_model",-0.00268836257678818,0.0189210278318805,0.887381089070742,5441,124,0.925962875552078,NA,0.887381089070742
"moderator_is_media_generation_model","rel_competitor:is_media_generation_model",-0.0107501928000886,0.0112010642042332,0.340078966731022,5441,124,0.510118450096533,NA,0.510118450096533
"moderator_is_media_generation_model","rel_downstream_deployer:is_media_generation_model",-0.0178209141012298,0.0137425474998211,0.198560330480002,5441,124,0.415873005992264,NA,0.510118450096533
"moderator_is_multimodal","rel_upstream_hardware:is_multimodal",0.0143333149118494,0.0165490256566032,0.388347575782547,5441,124,0.548255401104772,NA,0.976909109024943
"moderator_is_multimodal","rel_competitor:is_multimodal",0.00483656916678532,0.0115569656435463,0.676444931885676,5441,124,0.786631634016596,NA,0.976909109024943
