"spec","outcome","term","coef","se_event_cr2","p_event_cr2","stars_event_cr2","se_event_firm_hc1","p_event_firm_hc1","stars_event_firm_hc1","ci95_low_event_firm","ci95_high_event_firm","observations","events","firms","df_event_firm","vcov_min_eigenvalue_before_fix","vcov_eigenvalue_fix_applied"
"position_mm_year_fe","car_mm_spy_0_20","rel_upstream_hardware",0.0347575873945921,0.0108269260748384,0.00169758194021975,"***",0.0136624274674982,0.0145454378901261,"**",0.0072227740884063,0.0622924007007779,5441,124,45,44,-1.32724734770629e-05,TRUE
"position_mm_year_fe","car_mm_spy_0_20","rel_upstream_cloud",0.0105007390074775,0.00673197512719565,0.121461981410574,"",0.00892781154031249,0.245846382596887,"",-0.00749208288161315,0.0284935608965681,5441,124,45,44,-1.32724734770629e-05,TRUE
"position_mm_year_fe","car_mm_spy_0_20","rel_downstream_integrator",0.0131537829608059,0.00741159880230109,0.0784421288974611,"*",0.00851323675527656,0.129485417739869,"",-0.00400351834934129,0.0303110842709531,5441,124,45,44,-1.32724734770629e-05,TRUE
"position_mm_year_fe","car_mm_spy_0_20","rel_downstream_deployer",0.01261405723997,0.00841855718913941,0.136625794572561,"",0.00932291049799433,0.182961706081128,"",-0.00617503427712914,0.0314031487570691,5441,124,45,44,-1.32724734770629e-05,TRUE
"position_mm_year_fe","car_mm_spy_0_20","rel_downstream_enabler",0.00251331681635794,0.00999346741037403,0.801854005737364,"",0.0090004248048122,0.781365805271864,"",-0.0156258474914799,0.0206524811241958,5441,124,45,44,-1.32724734770629e-05,TRUE
"position_mm_year_fe","car_mm_spy_0_20","rel_competitor",0.0338531159251067,0.00897418045509512,0.000258313625118681,"***",0.0142775058193331,0.0221799943722125,"**",0.00507869365289065,0.0626275381973228,5441,124,45,44,-1.32724734770629e-05,TRUE
"position_mm_year_fe","car_mm_spy_0_20","rel_is_investor",0.00480290141076885,0.0120192114573901,0.69119348458549,"",0.00980985115695126,0.626849261462013,"",-0.0149675545210704,0.0245733573426081,5441,124,45,44,-1.32724734770629e-05,TRUE
"position_mm_year_fe","car_mm_spy_0_20","rel_is_owner",0.0318103372663695,0.0171592494409882,0.0699012824593096,"*",0.0196485410887326,0.112601172618014,"",-0.00778869532898806,0.0714093698617271,5441,124,45,44,-1.32724734770629e-05,TRUE
"position_ff3_year_fe","car_ff3_0_20","rel_upstream_hardware",0.0342834897020847,0.0109042122362475,0.00209558788158207,"***",0.0136735732049858,0.0159318052100374,"**",0.00672621363797334,0.0618407657661961,5441,124,45,44,-5.77467165889847e-06,TRUE
"position_ff3_year_fe","car_ff3_0_20","rel_upstream_cloud",0.0117137821186716,0.00660318847075094,0.0786338293906381,"*",0.00973853282245435,0.235475467599085,"",-0.00791294115435916,0.0313405053917024,5441,124,45,44,-5.77467165889847e-06,TRUE
"position_ff3_year_fe","car_ff3_0_20","rel_downstream_integrator",0.0118526475932037,0.00755448137766212,0.119258692746382,"",0.00838411589578104,0.164485695452418,"",-0.00504442772353196,0.0287497229099393,5441,124,45,44,-5.77467165889847e-06,TRUE
"position_ff3_year_fe","car_ff3_0_20","rel_downstream_deployer",0.0126653882557359,0.00852591532552799,0.139990387806786,"",0.00956265716811253,0.192187842080478,"",-0.00660688092640032,0.0319376574378721,5441,124,45,44,-5.77467165889847e-06,TRUE
"position_ff3_year_fe","car_ff3_0_20","rel_downstream_enabler",-0.00132521501928162,0.00989302522575898,0.893659397193125,"",0.00925568841047317,0.886802958070202,"",-0.0199788293209042,0.0173283992823409,5441,124,45,44,-5.77467165889847e-06,TRUE
